numero_inpi,data_deposito,titulo,resumo,instituicoes
102015018733,2015-08-05,JOGO DE CARTAS QUEBRA - CABEÇA LABORATORIAL,"JOGO DE CARTAS QUEBRA-CABEÇALABORATORIAL"".Refere-se a presente invenção a um quebra-cabeça que se monta unindo três cartas: carta dotipo 1 (numeradas de 1 a 20) contendo nome do equipamento de laboratório; carta do tipo 2(identificadas com letras maiúsculas de A a Z) que trazem a imagem do equipamento delaboratório (preto e branco ou em cores); e, carta do tipo 3 (com letras minúsculas) quemostram a função do equipamento de laboratório. As cartas são de formato quadrado,retangular ou outro e podem ser impressas em papel (ou similar), materiais poliméricos(como PVC) ou outros. Caracterizado por sua bifuncionalidade (educativo e recreativo) ecompacticidade, pode ser usado como um jogo de passatempo ou como uma ferramentadidática na introdução, revisão ou avaliação de conceitos inerentes aos equipamentos básicosde laboratório, em diversas disciplinas de diferentes níveis ou modalidades de ensino.","INSTITUTO FEDERAL DE EDUCACAO, CIENCIA  E TECNOLOGIA DE SERGIPE"
102022010984,2022-06-03,EMULSÃO À BASE DA TETRAHIDROPIPERINA PARA O CONTROLE DE AEDES AEGYPTI,"EMULSÃO À BASE DA TETRAHIDROPIPERINA PARA O CONTROLE DE Aedes aegypti. A presente patente de invenção descreve o uso da emulsão à base de uma amida de cadeia carbônica saturada, derivada da piperina, para o controle de mosquitos, prioritariamente o Aedes aegypti. O composto sintético foi obtido a partir da piperina, por meio de redução catalítica sob atmosfera de hidrogênio por seis horas. O óleo amarelado obtido foi testado e ocasionou 100% de mortalidade de larvas de Ae. aegypti, após 8 horas de exposição na concentração avaliada apresentando-se como um potente inseticida. Paralelamente, esse composto após a administração da dose de 300 mg.kg-1 em camundongos não demonstrou efeitos tóxicos relevantes, sendo, portanto, seguro na concentração avaliada em mamíferos.","INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DA PARAIBA - IFPB"
102023024261,2023-11-21,USO DOS ALCALÓIDES ISORESERPILINA E DARCYRIBEIRINA EM MEDICAMENTOS PARA O TRATAMENTO CONTRA CÂNCER DE MAMA E CÂNCER COLORRETAL,"USO DOS ALCALÓIDES ISORESERPILINA E DARCYRIBEIRINA EM MEDICAMENTOS PARA O TRATAMENTO CONTRA CÂNCER DE MAMA E CÂNCER COLORRETAL.A presente tecnologia trata do uso de dois alcaloides extraídos Rauvolfia grandiflora, denominados isoreserpilina e darcyribeirina, na produção de medicamentos para o tratamento contra câncer de mama e câncer colorretal. Os resultados in vivo comprovaram alta seletividade dos alcaloides selecionados. Além disso, os alcaloides selecionados apresentam baixo índice de citotoxicidade às células normais.",INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO ESPIRITO SANTO - IFES
102024016194,2024-08-08,SISTEMA DE RECIRCULAÇÃO DE ÁGUA ACOPLADO A DISPOSITIVO EMISSOR DE RADIAÇÃO ULTRAVIOLETA E USO DESTE,"SISTEMA DE RECIRCULAÇÃO DE ÁGUA ACOPLADO A DISPOSITIVO EMISSOR DE RADIAÇÃO ULTRAVIOLETA E USO DESTE. A presente invenção refere-se a um sistema de recirculação de água compreendido por um recipiente para armazenamento de água contendo em seu interior uma bomba d água submersível que através de uma mangueira leva a água até um dispositivo composto por uma lâmpada fluorescente tubular emissora de radiação ultravioleta do tipo C, inserida no interior de um tubo de PVC, por onde a água flui e então retorna ao recipiente de armazenamento. A manutenção da recirculação da água, com a incidência da radiação ultravioleta proporciona a inativação de micro-organismos patogênicos veiculados pelo recurso hídrico. Tal sistema pode ser utilizado para o tratamento de água proveniente de cisternas que em períodos de escassez pluviométrica são a única fonte de água para a população do semiárido brasileiro. O uso do sistema pode mitigar a ocorrência de doenças de veiculação hídrica na população que depende desse meio para o consumo do recurso. Dessa forma, a invenção constitui uma tecnologia social que atende necessidades humanas e até então não havia sido desenvolvida.","INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO CEARA"
102015030773,2015-12-09,,,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE PERNAMBUCO"
102024025331,2024-12-04,"DISPOSITIVO VESTÍVEL DE NAVEGAÇÃO POR IMAGENS E INTELIGÊNCIA ARTIFICIAL, E RESPECTIVO MÉTODO","DISPOSITIVO VESTÍVEL DE NAVEGAÇÃO POR IMAGENS E INTELIGÊNCIA ARTIFICIAL, E RESPECTIVO MÉTODO. A presente invenção encontra-se nos campos da Saúde e da Física (processamento de imagens) e descreve um dispositivo, sistema e método para assistência a deficientes visuais, os quais permitem orientar no desvio de obstáculos por meio de imagens e inteligência artificial. Sua principal utilização está na ampliação ou substituição da função da bengala, aumentando o alcance visual de pessoas cegas ou de baixa visão. O dispositivo, a partir de imagem frontal, sugere para o usuário uma velocidade segura para a caminhada e um sentido e uma intensidade de velocidade lateral, para desvio de obstáculos. Ao implementar um modelo de aprendizagem de máquina que consome poucos recursos computacionais, se torna viável como solução vestível, se diferenciando do estado da técnica por executar todo o processamento localmente, sem dependência de comunicação com servidores nem infraestrutura prévia, e sem comprometer a privacidade do usuário nem do seu entorno. A indicação de caminho se dá por meio do tato (vibrações), podendo ser complementada por beeps sonoros, à exemplo do que faz o cão-guia.","INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO CEARA"
202022023252,2022-11-16,CADEIRA DE RODAS ELÉTRICA EQUIPADA COM DISPOSITIVO DE DESINFECÇÃO UVC (Ultra Violeta tipo C),"Cadeira de rodas elétrica equipada com dispositivo de desinfecção UVC (Ultra Violeta tipo C.Cadeira de rodas elétrica equipada com dispositivo de desinfecção UVC (Ultra Violeta tipo C) Trata-se de uma cadeira de rodas elétrica equipada com um dispositivo portátil de desinfecção UVC e um sistema de controle autônomo que permite a desinfecção de ambientes sem a necessidade da ação humana, trazendo assim mais praticidade e principalmente segurança. O dispositivo de desinfecção UVC inventado é composto por moldes de fixação que permitem um fácil acoplamento em uma cadeira de rodas elétrica comum. Além disso, o sistema de controle para navegação autônoma também é facilmente integrável.","INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SERGIPE"
102024014112,2024-07-10,"SÍNTESE DO BIOPOLÍMERO POLI(2,4,6,8,10,12,14,16,18)-4,8,13,17-TETRAMETIL-N-(4- ((METILAMINO)FENIL)-OXOHENICOSA-2,4,6,8,10,12,14,16,18-NONAENAMIDA (OU POLIAMIDA TEMFON) OBTIDO A PARTIR DOS MONÔMEROS NORBIXINA E DAPSONA","SÍNTESE DO BIOPOLÍMERO POLI(2,4,6,8,10,12,14,16,18)-4,8,13,17-TETRAMETILN-( 4- ((METILAMINO)FENIL)-OXOHENICOSA-2,4,6,8,10,12,14,16,18- NONAENAMIDA (OU POLIAMIDA TEMFON) OBTIDO A PARTIR DOS MONÔMEROS NORBIXINA E DAPSONA. A presente invenção consiste em uma síntese polimérica, realizada a partir de uma reação de policondensação entre o fármaco Dapsona e o carotenoide Norbixina. O biopolímero inédito apresenta-se como uma alternativa aos polímeros de derivados petroquímicos. A invenção trata, além do processo de preparação, de sua caraterização estrutural, térmica, toxicológica e de atividade antibacteriana. Em virtude de suas boas propriedades térmicas, a nova poliamida pode vir a ser utilizada como material de engenharia, na produção de peças automotivas ou componentes eletrônicos, além de filmes ou membranas biocompatíveis, com aplicabilidade no campo da biomedicina, como para recobrimento de materiais hospitalares, devido ser um biomaterial polimérico atóxico e possuir boa atividade bacteriostática.","INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO PIAUI"
102015022511,2015-09-11,CONDICIONADOR DE AR EVAPORATIVO HÍBRIDO E SEUS RESPECTIVOS PROCESSOS,"CONDICIONADOR DE AR EVAPORATIVO HÍBRIDO E SEUS RESPECTIVOS PROCESSOS A presente invenção descreve uni equipamento que apresenta nova técnica de condicionamento do ar para propiciar conforto térmico em ambientes climatizados. O invento opera o ciclo de refrigeração para resfriar água para alimentar um dispositivo de resfriamento evaporativo como elemento de troca de calor e massa entre o ar e água, caracterizando-o como um modelo híbrido. A tecnologia desenvolvida permite o controle da temperatura e da umidade do ar, melhoria na qualidade do ar condicionado e emprego de compressores menores quando comparado com sistemas tradicionais de clìmatização, diminuindo o consumo de energia elétrica e propiciando o uso racional de fluidos refrigerantes.",CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MINAS GERAIS - CEFET MG
102015012083,2015-05-14,"PROCESSO PARA OBTENÇÃO SIMULTÂNEA DE MATERIAL FUNDENTE, ÓXIDO E CARBONATO DE POTÁSSIO A PARTIR DE CINZAS DE CASCA DE CAFÉ","PROCESSO PARA OBTENÇÃO SIMULTÂNEA DE MATERIAL FUNDENTE, ÓXIDO E CARBONATO DE POTÁSSIO A PARTIR DE CINZAS DE CASCA DE CAFÉ.A presente invenção refere-se à técnica de obtenção de material fundente, bem como óxido e carbonato de potássio a partir de cinzas da casca de café que utiliza cinzas provenientes da queima de cascas de café (de qualquer variedade das espéciesCoffeaarabica ou Coffeacanephora) e água - ou água oxigenada - onde as fases depotássio presente na cinza são separadas da parte sólida que, por meio de decantação, se acumula ao fundo e a solução (água + fases de potássio) é separada da parte sólida na qual após a eliminação da água resultará em material com características fundentes com potencial para uso na indústria cerâmica em geral e, principalmente, na fabricação de revestimentos cerâmicos e a eliminação da água da solução resultará em um produtoconstituído, essencialmente, de óxido de potássio e carbonato de potássio.","INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DA BAHIA - IFBA"
